it's suliban.	スリバン人です
nothing thrills me more than to see kids pollinating plants instead of each other.	生徒がお互いの受精じゃなくて 植物の受粉に熱中してくれてるよ!
do you want to spend all night at the cemetery in this rain?	この雨の中 一晩中 墓地にいたい?
our ships are in attack position.	船はもう攻撃発起位置にある。
what about the original sam? huh?	オリジナルの サムが居るんだぞ
even though, i don't like it, so quit your job!	でも ヤダから お仕事 辞めて!
goku continued on his journey alone, and became steadily stronger!	悟空は 一人旅を続けて どんどん強くなった。
we will now begin the emergency captains' meeting!	これより 緊急隊首会を行う。
so in other words, because of the lights and the projectors	言い換えれば 今ここにいる部屋の
not funny, david. where the hell are you?	一体どこに居るの?
this is an unnamed species of copepod. a copepod is a crustacean.	これは名前のないカイアシ つまり甲殻プランクトンです
let's submit those service records like that.	そういう勤務記録を提出しろ。
you seem to be mistaken.	公序良俗に反するレベルだと 思われることのほうが問題だ。
what a surprise.	驚いたわ
stirrings?	動揺 ?
i think it's an inspired idea.	それは見事なアイデアだと思います
please. sorry, kiddo.	お願い
i have more invested in this case than any of you assholes.	そこのアホより 多くを費やした
come on, guys.	さあ、行くわよ!
suck my dick, batty boy!	くそったれ ヘンテコ野朗
tomato ramen desho? sounds delicious.	トマトラーメンでしょ? おいしそうですね。
there are flowers that even florists don't know about?	バカでも その特徴がわかるぜ。
they're trying to raise their offspring	子育てには必死に取り組みます
if he were real, could i do this?	そうだったら、次はできないだろう?
i wish my life would be so sweet	人生もこれだけ甘ければいいのに
we won! we won!	私たちは勝った!
and i'll quickly just show you the interface.	そのシーンをお見せしましょう。
every single one.	誰もが
a snitch?	誰だって?
why didn't you just go to law school?	どうしてロースクールに行かなかった?
president taylor is locked in the safe room.	大統領が避難室に閉じこもった
this is one of cantor's friends planting the evidence.	彼の友人が記録した証拠です 友人が銃を見つけ
or do you...	それとも―
it's just us two.	誰も 私達2人だけ
so tell me, what am i?	判定を 私は 一体どれ?
and access classifiied recordings of the acting chief of staff.	首席補佐官代行の極秘の録音に アクセスしろと言うのか?
her sister was there.	彼女の妹は あそこにいた もっと大勢いるのよ
well, then he lied to you.	じゃ奴が嘘をついたんだ
i don't want to make you cry anymore.	もう おねえのこと泣かせたくないし。
package is inbound.	パッケージは本国行きだ
and everyone who enters the domain of her	花天狂骨の霊圧領域に 入った者はすべて
well the race certainly had some extenuating circumstances.	確かに色々 考え合わせると... どうでしょう
but the point is that the bitter experience of section 34	そこで この「34項の失敗」という
and now i've made a machine that lets me do that.	それで機械を作った 今は機械がそれをする
looks like we're a little over halfway there. why?	あと半分くらい どうして?
ah, no, mate, no. no, no that was, that was two days in belfast, man.	ああ違う 違う 2日間だけ
gotta take it with you.	いつももってなよ
the window is full with squares of katherine march.	窓いっぱい 彼女の作品よ
for shinkai hakase, there's no such thing as impossible, right?	新海ハカセに 不可能は ないんでしょ?
wedding anniversary tonight.	あっ。 今日は 初めての 結婚記念日なんです。
