you're a dead man. my boys will f	貴様はもう死んでる ...うが
the school was in a house	一軒の民家が学校になっていました
kosuke asked me...	コウスケに頼まれたんです。
it's the island.	場所は どこなんだ? 巌流島だ。
i see, the book of friends is in there!	擦肩而过的时候 我看见它跳到了你的背后
abraham. we can get through!	通り抜けられる!
even if he received a blow in the face, it won't crumble away.	殴られても彼の顔 崩壊しなかったじゃない。
i think mother would say	俺は お義母さんは やっぱり
i need to know now.	今知りたいんだが
well...	だから ええと どこなんだ
and she shows me a drawing	娘が見せてくれたのは
evacuation protocols initiated. one day i've been off this ship! one bloody day!	1日離れたら こんなことに!
they must have just forgotten about us.	もう追ってこないさ
doesn't this mean the 300 million yen is in here?	てことは ここに3億円が あるってことなんじゃないの?
can a pheasant ever be dangerous?	キジはどう猛では?
you know, i'm...	周知の事ですが...
2,000 pounds of classified gel concentrate, military grade.	秘密裏に濃縮された 900kg爆弾だ
the same people that came after her came after me, too.	追いかけられて
yes, and, boy, do we have a wonderful show for you, with our special guest, mr. jack black!	すばらしいショーを 特別ゲストの ジャック・ブラックとともに 皆様にお届けします
but when my mom died like that	でも あんな形で おふくろが亡くなって
and were they really passing secrets back and forth?	そして本当にあちこちに 秘密を隠していたの?
fuck this, shit that.	これを"ファック" それが"シット"
don't... birds are watching us.	ダメ 小鳥が見てる
do not shy	しゃしゃってんじゃねぇぞ
work leaders.	実現するための指導者がいます
sort of thing she planned with the store manager.	付き合いのある店長と 打ち合わせをしていたと
white is the synthesis.	白はこれらを統合したものです
nash, you..	おらッ ナッシュ お前
we use skeletal muscles so much. it's the one portion of our body	私たちは骨格筋をたくさん使っています
this particular day, we sat in a workshop	この日 私たちはワークショップで
insurance man?	金はどうした?
to really explore the genetics	遺伝子を調べるために必要な
he wanted us to send a trojan to the europol system	僕らがトロイの木馬を 連邦警察システムに送信することさ
then why aren't we down there now?	なぜ あそこに居ないの?
gabby, i know you worked very hard	ギャビー 皆さんへのメッセージを
what kind of concern?	何の悩みです?
i've always had an interest in this industry, and	もともと この業界に 興味がありまして
the less i have with me, the better.	私は 1人で充分!
james barr was one of those.	バーは最後の理由だ
look through here, and i'll show you the future.	ここから・・・ 君に未来を見せて
well, you never ask me in. not ever. mmm.	そんなこと一度も言われたこと無かったので メアリー
there you are. thank you for accepting my invitation.	わざわざ来ていただいて ありがとうございます。
she said it was el cucuy?	エル・ククイだって 言ったの?
a long story.	私が好きなのは「長い話になる」
what are you talking about?	一体何の話だ?
well then, everybody. please enjoy your meal.	さぁ いっくわよー
we hit him in the house as soon as possible, bring him out right through the front door, through the bushes and back to the van.	奴を拉致して 車の中へ
